treat,hra_c_yr1,male,age50,age37_49,white,sickleave_0815_0716,sickleave_0816_0717,sickleave_0816_0119,sickdays_eligible_0815_0716,sickdays_eligible_0816_0717,sickdays_eligible_0816_0119,gym_0815_0716,gym_0816_0717,gym_0816_0119,promotion_0616_0717,promotion_0616_0119,titleChange_0616_0717,titleChange_0616_0119,salaryRaise_0616_0717,salaryRaise_0616_0119,salary_0616,terminated_0717,terminated_0119,prod_index_yr0,prod_index_yr1,prod_index_yr2
1,0,0,0,0,1,13.52875,18,8.914518,365,365,737,0,0,0,0,,,,,,,0,1,-.1698526,-1.736059,
0,,0,0,1,1,3,1,1.015017,365,365,899,0,0,0,0,0,,,,,,0,0,.2096789,,
1,0,1,1,0,1,0,1,1.015017,365,365,899,0,0,0,0,0,,,,,,0,0,-.9611047,-1.77304,-2.186475
0,,1,1,0,1,3.5,6.25,4.095592,365,365,899,0,0,0,1,1,,,,,,0,0,-.4665977,1.574213,.7002204
1,1,0,0,0,1,0,0,0,365,365,899,6,0,0,1,1,,,,,,0,0,.7052464,2.812407,1.664912
1,1,1,0,0,1,4,4,2.030033,365,365,899,0,0,0,1,1,,,,,,0,0,-.3663422,.9010723,-.4505908
1,0,0,0,1,1,0,0,19.90092,365,365,899,10,1,.4,0,0,,,,,,0,0,-.2694981,,
1,1,1,1,0,1,0,0,1.21802,350,365,899,0,0,0,0,0,,,,,,0,0,-.1538424,-.3333992,-.6437061
1,1,0,0,0,0,10.94431,10.3775,8.930104,321,365,611,0,0,0,0,,,,,,,0,1,-.36668,-2.535107,
1,1,0,0,0,1,0,9.5,8.52614,365,365,899,0,0,.4,0,0,,,,,,0,0,-.0707679,,
1,0,0,1,0,1,10.6875,12,16.80309,365,365,899,0,0,0,0,1,,,,,,0,0,-1.148118,-1.006124,-.0876252
1,0,1,0,1,1,6.9375,9.75,12.89071,365,365,899,0,0,0,0,0,,,,,,0,0,-.7603962,-2.469756,-3.079968
1,0,1,0,0,1,0,0,0,350,365,899,0,0,18.8,0,0,,,,,,0,0,.5141546,-1.348005,-1.674462
0,,1,0,1,1,1,0,0,365,365,899,0,0,0,,1,,,,,,0,0,1.674186,,2.978353
0,,0,0,1,1,3.75,2.8125,5.709469,365,365,899,0,8,4.8,0,1,,,,,,0,0,-.4669705,.8946964,2.163176
1,0,0,1,0,1,5.6875,9,19.76745,365,365,899,0,0,0,0,0,,,,,,0,0,.2003345,.1058657,-.0761035
1,0,0,0,0,1,5,10,6.809701,365,365,536,21,9,4,1,,,,,,,0,1,-.6349601,1.106567,
1,0,0,0,1,1,7.5,1.375,.5582592,365,365,899,0,0,0,0,1,,,,,,0,0,-2.636181,,
1,1,0,0,1,1,3,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,1.170265,-.1318567,-.3931383
0,,1,0,1,1,13.5,12,9.947164,365,365,899,102,19,7.6,0,1,,,,,,0,0,.0400489,-.0293055,.0135942
1,1,1,0,1,1,8,8,3.65406,365,365,899,0,0,0,0,0,,,,,,0,0,-.9839795,-.1979691,-.3822501
